# fpga_nets.tsv — FPGA net name / annotation table for awto-2000 (Hantek 2D82AUTO)
#
# PURPOSE
#   Human-maintained source of truth for FPGA net names, replacing auto-generated clk_N placeholders.
#   Loaded by load.py during rebuild → populates net_names table → used by chains.py / report2.py.
#   Same pattern as ghidra_names.tsv for firmware: edit here, run ./scripts/rebuild, names appear everywhere.
#
# CONFIDENCE LEVELS — mandatory, read by all tooling and AI agents
#   confirmed   Derived directly from bitstream, schematic, or physical measurement. Trust completely.
#   inferred    Strong structural reasoning (spatial proximity, fanout pattern, known subsystem).
#               Likely correct but not verified. AI-generated entries start here at best.
#   speculative An educated guess. Could be wrong. Do not act on this without independent verification.
#
# NAMING CONVENTION
#   Clock nets:  clk_<domain>_<function>
#     domain:    h0=HPBX0000 (125 MHz, CLKOS), h1=HPBX0100, h2=HPBX0200 (250 MHz, CLKOP)
#     function:  adc_cap=ADC capture pipeline, adc_enc=ADC encode clock output,
#                awg_dds=AWG DDS / waveform read, awg_wr=AWG EBR write, dac=DAC output register
#   Data nets:   <subsystem>_<noun>[_bit]
#     subsystem: adc, dac, awg, spi, trig, afe
#   Pad nets:    keep existing pad labels (ADC_D0A, DAC_CLK etc.) — confirmed in load.py from pin map
#
# COLUMNS
#   net         Internal net ID (nNNNN from prjtrellis extraction). Primary key for join to DB.
#   name        Canonical short name. Used in all report output instead of nNNNN.
#   type        clk | data | ctrl | pad | unknown
#   confidence  confirmed | inferred | speculative
#   freq_mhz    Clock frequency in MHz (clk type only), or blank
#   hpbx        HPBX spine (BRANCH_HPBX0000 / 0100 / 0200 / 0300), or blank
#   ff_count    Number of FFs clocked by this net (clk type only), or blank
#   notes       Free-form. For AI-generated entries: start with "AI:" and explain the reasoning chain.
#               For confirmed entries: cite the source (bitstream word, schematic ref, measurement).
#
# HOW TO ADD ENTRIES
#   1. Pick the right confidence level. When in doubt, use speculative.
#   2. Use the naming convention above.
#   3. Run ./scripts/rebuild to apply.
#   4. If analysis later confirms or refutes a speculative entry, update confidence and notes.
#
# WHAT NOT TO PUT HERE
#   - reg_rNcN_q[N] nets — auto-named by load.py from FF location, no value in duplicating
#   - pad_NN nets — auto-named from pin map
#   - Entries where confidence=speculative and notes is empty — write your reasoning or don't add it
#
# ─────────────────────────────────────────────────────────────────────────────────────────────────
# net	name	type	confidence	freq_mhz	hpbx	ff_count	notes
# ─────────────────────────────────────────────────────────────────────────────────────────────────

# ── Confirmed pad nets (from pin map + prjtrellis JQ/JA arcs) ─────────────────────────────────
n1147	ADC_ENCB	pad	confirmed		BRANCH_HPBX0000		Shared net: pin 54 (DAC_CLK) and pin 98 (ADC_ENCB) — same 125 MHz CLKOS spine net. Confirmed from bitstream arc scan + shared-net anomaly report.

# ── DCC and HPBX spine nets (global clock infrastructure at R6C3) ──────────────────────────────
# MachXO2 has 4 DCC (Dynamic Clock Control) cells at the centre tile (R6C3).
# Each has a bottom (B) and top (T) input/output pair → 8 DCC pass-through nets.
# n2720/2721 are HPBX spine branch nets (no fabric driver — driven by PLL hard IP).
# All are structurally identified from arc G_CLKIxB/T_DCC → G_CLKOxB/T_DCC at R6C3.
n2720	hpbx0100_spine	clk	confirmed	62.5	BRANCH_HPBX0100		HPBX0100 global clock spine (62.5 MHz CLKOS2). Arc: U_VPTX0100→BRANCH_HPBX0100 at R6C3. Drives clk_h1_* domains.
n2721	hpbx0300_spine	clk	confirmed	62.5	BRANCH_HPBX0300		HPBX0300 global clock spine (62.5 MHz, secondary branch). Arc: U_VPTX0300→BRANCH_HPBX0300 at R6C3. Drives clk_h1_* domains.
n2722	dcc0_clk_b	clk	confirmed				DCC cell 0 bottom input/output pass-through (R6C3 G_CLKI0B_DCC→G_CLKO0B_DCC). DCC disabled (pass-through mode) — clock reaches fabric unmodified.
n2723	dcc0_clk_t	clk	confirmed				DCC cell 0 top input/output pass-through (R6C3 G_CLKI0T_DCC→G_CLKO0T_DCC). DCC pass-through.
n2724	dcc1_clk_b	clk	confirmed				DCC cell 1 bottom pass-through (R6C3 G_CLKI1B_DCC→G_CLKO1B_DCC). DCC pass-through.
n2725	dcc1_clk_t	clk	confirmed				DCC cell 1 top pass-through (R6C3 G_CLKI1T_DCC→G_CLKO1T_DCC). DCC pass-through.
n2726	dcc2_clk_b	clk	confirmed				DCC cell 2 bottom pass-through (R6C3 G_CLKI2B_DCC→G_CLKO2B_DCC). DCC pass-through.
n2727	dcc2_clk_t	clk	confirmed				DCC cell 2 top pass-through (R6C3 G_CLKI2T_DCC→G_CLKO2T_DCC). DCC pass-through.
n2728	dcc3_clk_b	clk	confirmed				DCC cell 3 bottom pass-through (R6C3 G_CLKI3B_DCC→G_CLKO3B_DCC). DCC pass-through.
n2729	dcc3_clk_t	clk	confirmed				DCC cell 3 top pass-through (R6C3 G_CLKI3T_DCC→G_CLKO3T_DCC). DCC pass-through.

# ── Confirmed / strongly inferred clock domains ───────────────────────────────────────────────
#
# PLL outputs (all confirmed from V07 bitstream — see vendors/hantek/2d82/docs/hardware/fpga.md):
#   CLKOP  = 250 MHz → BRANCH_HPBX0200
#   CLKOS  = 125 MHz → BRANCH_HPBX0000
#   CLKOS2 =  62.5 MHz → BRANCH_HPBX0100 (inferred — no confirmed HPBX mapping yet)
#
# R6C20 = AWG EBR (PDPW8KC, 512×18-bit waveform table). Spatially: rows 2-3 col 20.
# R6C1/4/7/10/14/17 = ADC EBR ring (DP8KC, 6×1024 B). Spatially: rows 2-5 cols 1-18.
#
# n1942 and n1943 are the only two clocks driving R6C20 FFs (chains.txt section 7).
# n1942 = HPBX0000 (125 MHz), n1943 = HPBX0200 (250 MHz).
