=== Fuzz run summary ===
  Total targets:   1794
  Built:           1729 (589 cached)
  Failed (Diamond):65
  Loaded (pluribus):1697

Diamond failures:
  pll_feedbk_CLKOS3                         diamondc exited 1
  pll_feedbk_CLKOS                          diamondc exited 1
  pll_feedbk_CLKOS2                         diamondc exited 1
  pll_feedbk_INT_DIVB                       diamondc exited 1
  pll_feedbk_INT_DIVC                       diamondc exited 1
  pll_feedbk_INT_DIVD                       diamondc exited 1
  pll_pll_use_wb_enabled                    diamondc exited 1
  sedfa_freq_10p23_caen                     diamondc exited 1
  sedfa_freq_10p64_caen                     diamondc exited 1
  sedfa_freq_11p08_caen                     diamondc exited 1
  sedfa_freq_12p09_caen                     diamondc exited 1
  sedfa_freq_11p57_caen                     diamondc exited 1
  sedfa_freq_12p67_caen                     diamondc exited 1
  sedfa_freq_13p30_caen                     diamondc exited 1
  sedfa_freq_14p00_caen                     diamondc exited 1
  sedfa_freq_14p78_caen                     diamondc exited 1
  sedfa_freq_15p65_caen                     diamondc exited 1
  sedfa_freq_16p63_caen                     diamondc exited 1
  sedfa_freq_17p73_caen                     diamondc exited 1
  sedfa_freq_19p00_caen                     diamondc exited 1
  sedfa_freq_20p46_caen                     diamondc exited 1
  sedfa_freq_22p17_caen                     diamondc exited 1
  sedfa_freq_24p18_caen                     diamondc exited 1
  sedfa_freq_26p60_caen                     diamondc exited 1
  sedfa_freq_29p56_caen                     diamondc exited 1
  sedfa_freq_2p08_caen                      diamondc exited 1
  sedfa_freq_2p15_caen                      diamondc exited 1
  sedfa_freq_2p22_caen                      diamondc exited 1
  sedfa_freq_2p29_caen                      diamondc exited 1
  sedfa_freq_2p38_caen                      diamondc exited 1
  sedfa_freq_2p46_caen                      diamondc exited 1
  sedfa_freq_2p56_caen                      diamondc exited 1
  sedfa_freq_2p66_caen                      diamondc exited 1
  sedfa_freq_2p77_caen                      diamondc exited 1
  sedfa_freq_2p89_caen                      diamondc exited 1
  sedfa_freq_33p25_caen                     diamondc exited 1
  sedfa_freq_3p02_caen                      diamondc exited 1
  sedfa_freq_3p17_caen                      diamondc exited 1
  sedfa_freq_3p33_caen                      diamondc exited 1
  sedfa_freq_3p50_caen                      diamondc exited 1
  sedfa_freq_3p69_caen                      diamondc exited 1
  sedfa_freq_3p91_caen                      diamondc exited 1
  sedfa_freq_4p16_caen                      diamondc exited 1
  sedfa_freq_4p29_caen                      diamondc exited 1
  sedfa_freq_4p43_caen                      diamondc exited 1
  sedfa_freq_4p59_caen                      diamondc exited 1
  sedfa_freq_4p75_caen                      diamondc exited 1
  sedfa_freq_4p93_caen                      diamondc exited 1
  sedfa_freq_5p12_caen                      diamondc exited 1
  sedfa_freq_5p32_caen                      diamondc exited 1
  sedfa_freq_5p54_caen                      diamondc exited 1
  sedfa_freq_5p78_caen                      diamondc exited 1
  sedfa_freq_6p05_caen                      diamondc exited 1
  sedfa_freq_6p33_caen                      diamondc exited 1
  sedfa_freq_6p65_caen                      diamondc exited 1
  sedfa_freq_7p00_caen                      diamondc exited 1
  sedfa_freq_7p39_caen                      diamondc exited 1
  sedfa_freq_7p82_caen                      diamondc exited 1
  sedfa_freq_8p31_caen                      diamondc exited 1
  sedfa_freq_8p58_caen                      diamondc exited 1
  sedfa_freq_8p87_caen                      diamondc exited 1
  sedfa_freq_9p17_caen                      diamondc exited 1
  sedfa_freq_9p50_caen                      diamondc exited 1
  sedfa_freq_9p85_caen                      diamondc exited 1
  syscfg_i2c_enable                         diamondc exited 1

