clk_net	name	ff_count
n10644	clk_171	2
n10163	clk_64	2
n10164	clk_65	2
n10648	clk_172	2
n10321	clk_114	2
n10654	clk_173	2
n10322	clk_115	2
n10658	clk_174	2
n10659	clk_175	2
n10165	clk_66	2
n10166	clk_67	2
n10327	clk_116	2
n10167	clk_68	2
n10037	clk_19	2
n10038	clk_20	2
n10171	clk_69	2
n10671	clk_176	2
n10011	clk_4	2
n10673	clk_177	2
n10175	clk_70	2
n10180	clk_71	2
n10340	clk_117	2
n10678	clk_178	2
n10082	clk_36	2
n10183	clk_72	2
n10681	clk_179	2
n10344	clk_118	2
n10688	clk_180	2
n10345	clk_119	2
n10086	clk_37	2
n10695	clk_181	2
n10040	clk_21	2
n10350	clk_120	2
n10190	clk_73	2
n10699	clk_182	2
n10357	clk_121	2
n10701	clk_183	2
n10362	clk_122	2
n10368	clk_123	2
n10020	clk_9	2
n10091	clk_38	2
n10193	clk_74	2
n10195	clk_75	2
n10198	clk_76	2
n10378	clk_124	2
n10379	clk_125	2
n10712	clk_184	2
n10042	clk_22	2
n10718	clk_185	2
n10720	clk_186	2
n10727	clk_187	2
n10021	clk_10	2
n10390	clk_126	2
n10732	clk_188	2
n10733	clk_189	2
n10734	clk_190	2
n10396	clk_127	2
n10736	clk_191	2
n10737	clk_192	2
n10203	clk_77	2
n10403	clk_128	2
n10740	clk_193	2
n10741	clk_194	2
n10404	clk_129	2
n10743	clk_195	2
n10095	clk_39	2
n10747	clk_196	2
n10012	clk_5	2
n10408	clk_130	2
n10206	clk_78	2
n10207	clk_79	2
n10758	clk_197	2
n10023	clk_11	2
n10052	clk_23	2
n10761	clk_198	2
n10210	clk_80	2
n10100	clk_40	2
n10768	clk_199	2
n10101	clk_41	2
n10102	clk_42	2
n10777	clk_200	2
n10214	clk_81	2
n10423	clk_131	2
n10424	clk_132	2
n10781	clk_201	2
n10782	clk_202	2
n10426	clk_133	2
n10103	clk_43	2
n10788	clk_203	2
n10790	clk_204	2
n10793	clk_205	2
n10796	clk_206	2
n10804	clk_207	2
n10808	clk_208	2
n10809	clk_209	2
n10216	clk_82	2
n10053	clk_24	2
n10054	clk_25	2
n10220	clk_83	2
n10222	clk_84	2
n10106	clk_44	2
n10024	clk_12	2
n10836	clk_210	2
n10838	clk_211	2
n10446	clk_134	2
n10841	clk_212	2
n10108	clk_45	2
n10005	clk_2	2
n10455	clk_135	2
n10235	clk_85	2
n10849	clk_213	2
n10026	clk_13	2
n10852	clk_214	2
n10059	clk_26	2
n10014	clk_6	2
n10461	clk_136	2
n10113	clk_46	2
n10114	clk_47	2
n10015	clk_7	2
n10243	clk_86	2
n10244	clk_87	2
n10471	clk_137	2
n10877	clk_215	2
n10062	clk_27	2
n10063	clk_28	2
n10881	clk_216	2
n10882	clk_217	2
n10029	clk_14	2
n10889	clk_218	2
n10483	clk_138	2
n10891	clk_219	2
n10251	clk_88	2
n10893	clk_220	2
n10255	clk_89	2
n10486	clk_139	2
n10897	clk_221	2
n10119	clk_48	2
n10257	clk_90	2
n10120	clk_49	2
n10905	clk_222	2
n10906	clk_223	2
n10907	clk_224	2
n10259	clk_91	2
n10909	clk_225	2
n10122	clk_50	2
n10030	clk_15	2
n10916	clk_226	2
n10514	clk_140	2
n10515	clk_141	2
n10127	clk_51	2
n10934	clk_227	2
n10128	clk_52	2
n10948	clk_228	2
n10952	clk_229	2
n10954	clk_230	2
n10264	clk_92	2
n10016	clk_8	2
n10520	clk_142	2
n10522	clk_143	2
n10130	clk_53	2
n10976	clk_231	2
n10981	clk_232	2
n10527	clk_144	2
n10986	clk_233	2
n10987	clk_234	2
n10267	clk_93	2
n10529	clk_145	2
n10530	clk_146	2
n10531	clk_147	2
n10268	clk_94	2
n10533	clk_148	2
n10534	clk_149	2
n10535	clk_150	2
n10269	clk_95	2
n10270	clk_96	2
n11000	clk_235	2
n10540	clk_151	2
n11010	clk_236	2
n11011	clk_237	2
n11012	clk_238	2
n10271	clk_97	2
n10549	clk_152	2
n10553	clk_153	2
n10558	clk_154	2
n10007	clk_3	2
n10273	clk_98	2
n10003	clk_1	2
n11022	clk_239	2
n10069	clk_29	2
n10139	clk_54	2
n11025	clk_240	2
n10142	clk_55	2
n10566	clk_155	2
n10144	clk_56	2
n10145	clk_57	2
n11030	clk_241	2
n11031	clk_242	2
n10571	clk_156	2
n10280	clk_99	2
n11034	clk_243	2
n10281	clk_100	2
n11036	clk_244	2
n11037	clk_245	2
n10575	clk_157	2
n11039	clk_246	2
n10576	clk_158	2
n11041	clk_247	2
n11042	clk_248	2
n11043	clk_249	2
n10577	clk_159	2
n11045	clk_250	2
n11048	clk_251	2
n11052	clk_252	2
n11056	clk_253	2
n10146	clk_58	2
n10579	clk_160	2
n10284	clk_101	2
n10285	clk_102	2
n10148	clk_59	2
n11063	clk_254	2
n11064	clk_255	2
n11065	clk_256	2
n11066	clk_257	2
n11067	clk_258	2
n11068	clk_259	2
n10583	clk_161	2
n11070	clk_260	2
n11071	clk_261	2
n10070	clk_30	2
n11074	clk_262	2
n11076	clk_263	2
n10585	clk_main	2
n11084	clk_264	2
n10034	clk_16	2
n11087	clk_265	2
n11088	clk_266	2
n10072	clk_31	2
n11090	clk_267	2
n10290	clk_103	2
n11092	clk_268	2
n11093	clk_269	2
n10291	clk_104	2
n10073	clk_32	2
n10153	clk_60	2
n10294	clk_105	2
n10601	clk_163	2
n11100	clk_270	2
n10074	clk_33	2
n10296	clk_106	2
n10604	clk_164	2
n11104	clk_271	2
n11105	clk_272	2
n11106	clk_273	2
n11107	clk_274	2
n10605	clk_165	2
n11109	clk_275	2
n10606	clk_166	2
n10155	clk_61	2
n10156	clk_62	2
n10617	clk_167	2
n10300	clk_107	2
n10303	clk_108	2
n10157	clk_63	2
n10305	clk_109	2
n9978	clk_276	2
n9979	clk_277	2
n9980	clk_278	2
n9981	clk_279	2
n9982	clk_280	2
n10306	clk_110	2
n10623	clk_168	2
n10309	clk_111	2
n10625	clk_169	2
n10035	clk_17	2
n9988	clk_281	2
n10076	clk_34	2
n10036	clk_18	2
n10315	clk_112	2
n10317	clk_113	2
n10640	clk_170	2
n9994	clk_282	2
n9995	clk_283	2
n9996	clk_284	2
n10078	clk_35	2
n9998	clk_285	2
n10000	clk_0	2
n10750	clk_571	1
n10754	clk_572	1
n10755	clk_573	1
n10756	clk_574	1
n10759	clk_575	1
n10760	clk_576	1
n10763	clk_577	1
n10767	clk_578	1
n10774	clk_579	1
n10776	clk_580	1
n10778	clk_581	1
n10779	clk_582	1
n10780	clk_583	1
n10783	clk_584	1
n10784	clk_585	1
n10810	clk_586	1
n10811	clk_587	1
n10812	clk_588	1
n10818	clk_589	1
n10822	clk_590	1
n10827	clk_591	1
n10830	clk_592	1
n10840	clk_593	1
n10842	clk_594	1
n10843	clk_595	1
n10845	clk_596	1
n10847	clk_597	1
n10850	clk_598	1
n10855	clk_599	1
n10857	clk_600	1
n10858	clk_601	1
n10859	clk_602	1
n10860	clk_603	1
n10862	clk_604	1
n10866	clk_605	1
n10874	clk_606	1
n10876	clk_607	1
n10879	clk_608	1
n10880	clk_609	1
n10888	clk_610	1
n10890	clk_611	1
n10892	clk_612	1
n10894	clk_613	1
n10895	clk_614	1
n10902	clk_615	1
n10903	clk_616	1
n10904	clk_617	1
n10908	clk_618	1
n10910	clk_619	1
n10912	clk_620	1
n10922	clk_621	1
n10926	clk_622	1
n10930	clk_623	1
n10942	clk_624	1
n10961	clk_625	1
n10965	clk_626	1
n10966	clk_627	1
n10967	clk_628	1
n10970	clk_629	1
n10984	clk_630	1
n10988	clk_631	1
n10989	clk_632	1
n10990	clk_633	1
n10991	clk_634	1
n10992	clk_635	1
n10993	clk_636	1
n10994	clk_637	1
n10995	clk_638	1
n10996	clk_639	1
n10998	clk_640	1
n11006	clk_641	1
n11013	clk_642	1
n11014	clk_643	1
n11015	clk_644	1
n11016	clk_645	1
n11018	clk_646	1
n11020	clk_647	1
n11021	clk_648	1
n11023	clk_649	1
n11024	clk_650	1
n11026	clk_651	1
n11027	clk_652	1
n11028	clk_653	1
n11029	clk_654	1
n11032	clk_655	1
n11033	clk_656	1
n11035	clk_657	1
n11038	clk_658	1
n11040	clk_659	1
n11044	clk_660	1
n11058	clk_661	1
n11059	clk_662	1
n11060	clk_663	1
n11061	clk_664	1
n11062	clk_665	1
n11069	clk_666	1
n11072	clk_667	1
n11082	clk_668	1
n11086	clk_669	1
n11089	clk_670	1
n11091	clk_671	1
n11094	clk_672	1
n11095	clk_673	1
n11096	clk_674	1
n11098	clk_675	1
n11099	clk_676	1
n11101	clk_677	1
n11102	clk_678	1
n11103	clk_679	1
n11108	clk_680	1
n11110	clk_681	1
n11114	clk_682	1
n11118	clk_683	1
n11123	clk_684	1
n11124	clk_685	1
n9973	clk_686	1
n9975	clk_687	1
n9976	clk_688	1
n9983	clk_689	1
n9984	clk_690	1
n9985	clk_691	1
n9986	clk_692	1
n9987	clk_693	1
n9989	clk_694	1
n9990	clk_695	1
n9991	clk_696	1
n9992	clk_697	1
n9993	clk_698	1
n9997	clk_699	1
n9999	clk_700	1
n10001	clk_286	1
n10002	clk_287	1
n10004	clk_288	1
n10009	clk_289	1
n10013	clk_290	1
n10017	clk_291	1
n10018	clk_292	1
n10019	clk_293	1
n10022	clk_294	1
n10025	clk_295	1
n10027	clk_296	1
n10028	clk_297	1
n10031	clk_298	1
n10032	clk_299	1
n10033	clk_300	1
n10039	clk_301	1
n10041	clk_302	1
n10043	clk_303	1
n10045	clk_304	1
n10048	clk_305	1
n10056	clk_306	1
n10057	clk_307	1
n10058	clk_308	1
n10060	clk_309	1
n10061	clk_310	1
n10064	clk_311	1
n10065	clk_312	1
n10066	clk_313	1
n10067	clk_314	1
n10068	clk_315	1
n10071	clk_316	1
n10075	clk_317	1
n10077	clk_318	1
n10079	clk_319	1
n10080	clk_320	1
n10081	clk_321	1
n10088	clk_322	1
n10089	clk_323	1
n10093	clk_324	1
n10094	clk_325	1
n10096	clk_326	1
n10098	clk_327	1
n10099	clk_328	1
n10104	clk_329	1
n10105	clk_330	1
n10107	clk_331	1
n10109	clk_332	1
n10110	clk_333	1
n10111	clk_334	1
n10112	clk_335	1
n10115	clk_336	1
n10116	clk_337	1
n10117	clk_338	1
n10118	clk_339	1
n10126	clk_340	1
n10129	clk_341	1
n10135	clk_342	1
n10136	clk_343	1
n10137	clk_344	1
n10149	clk_345	1
n10150	clk_346	1
n10151	clk_347	1
n10152	clk_348	1
n10154	clk_349	1
n10158	clk_350	1
n10159	clk_351	1
n10160	clk_352	1
n10162	clk_353	1
n10168	clk_354	1
n10170	clk_355	1
n10173	clk_356	1
n10182	clk_357	1
n10185	clk_358	1
n10187	clk_359	1
n10191	clk_360	1
n10192	clk_361	1
n10201	clk_362	1
n10202	clk_363	1
n10204	clk_364	1
n10205	clk_365	1
n10208	clk_366	1
n10209	clk_367	1
n10211	clk_368	1
n10212	clk_369	1
n10213	clk_370	1
n10215	clk_371	1
n10217	clk_372	1
n10219	clk_373	1
n10227	clk_374	1
n10230	clk_375	1
n10233	clk_376	1
n10234	clk_377	1
n10236	clk_378	1
n10237	clk_379	1
n10238	clk_380	1
n10239	clk_381	1
n10240	clk_382	1
n10241	clk_383	1
n10246	clk_384	1
n10249	clk_385	1
n10250	clk_386	1
n10256	clk_387	1
n10258	clk_388	1
n10260	clk_389	1
n10261	clk_390	1
n10262	clk_391	1
n10263	clk_392	1
n10265	clk_393	1
n10266	clk_394	1
n10272	clk_395	1
n10274	clk_396	1
n10275	clk_397	1
n10276	clk_398	1
n10277	clk_399	1
n10278	clk_400	1
n10279	clk_401	1
n10283	clk_402	1
n10286	clk_403	1
n10287	clk_404	1
n10288	clk_405	1
n10289	clk_406	1
n10292	clk_407	1
n10293	clk_408	1
n10295	clk_409	1
n10297	clk_410	1
n10298	clk_411	1
n10304	clk_412	1
n10310	clk_413	1
n10311	clk_414	1
n10313	clk_415	1
n10318	clk_416	1
n10319	clk_417	1
n10320	clk_418	1
n10323	clk_419	1
n10324	clk_420	1
n10328	clk_421	1
n10329	clk_422	1
n10330	clk_423	1
n10331	clk_424	1
n10332	clk_425	1
n10337	clk_426	1
n10338	clk_427	1
n10341	clk_428	1
n10343	clk_429	1
n10348	clk_430	1
n10349	clk_431	1
n10353	clk_432	1
n10373	clk_433	1
n10374	clk_434	1
n10375	clk_435	1
n10376	clk_436	1
n10377	clk_437	1
n10381	clk_438	1
n10386	clk_439	1
n10402	clk_440	1
n10405	clk_441	1
n10406	clk_442	1
n10409	clk_443	1
n10411	clk_444	1
n10415	clk_445	1
n10416	clk_446	1
n10417	clk_447	1
n10419	clk_448	1
n10420	clk_449	1
n10421	clk_450	1
n10422	clk_451	1
n10431	clk_452	1
n10435	clk_453	1
n10436	clk_454	1
n10437	clk_455	1
n10438	clk_456	1
n10439	clk_457	1
n10440	clk_458	1
n10441	clk_459	1
n10449	clk_460	1
n10453	clk_461	1
n10456	clk_462	1
n10457	clk_463	1
n10458	clk_464	1
n10459	clk_465	1
n10465	clk_466	1
n10466	clk_467	1
n10468	clk_468	1
n10469	clk_469	1
n10470	clk_470	1
n10472	clk_471	1
n10474	clk_472	1
n10481	clk_473	1
n10484	clk_474	1
n10485	clk_475	1
n10489	clk_476	1
n10493	clk_477	1
n10497	clk_478	1
n10500	clk_479	1
n10502	clk_480	1
n10513	clk_481	1
n10516	clk_482	1
n10517	clk_483	1
n10518	clk_484	1
n10519	clk_485	1
n10526	clk_486	1
n10528	clk_487	1
n10532	clk_488	1
n10536	clk_489	1
n10539	clk_490	1
n10546	clk_491	1
n10559	clk_492	1
n10560	clk_493	1
n10561	clk_494	1
n10562	clk_495	1
n10563	clk_496	1
n10564	clk_497	1
n10569	clk_498	1
n10570	clk_499	1
n10572	clk_500	1
n10573	clk_501	1
n10578	clk_502	1
n10580	clk_503	1
n10581	clk_504	1
n10582	clk_505	1
n10584	clk_506	1
n10586	clk_507	1
n10587	clk_508	1
n10588	clk_509	1
n10594	clk_510	1
n10598	clk_511	1
n10599	clk_512	1
n10600	clk_513	1
n10602	clk_514	1
n10603	clk_515	1
n10610	clk_516	1
n10616	clk_517	1
n10618	clk_518	1
n10619	clk_519	1
n10620	clk_520	1
n10621	clk_521	1
n10622	clk_522	1
n10624	clk_523	1
n10627	clk_524	1
n10628	clk_525	1
n10629	clk_526	1
n10630	clk_527	1
n10635	clk_528	1
n10642	clk_529	1
n10646	clk_530	1
n10647	clk_531	1
n10650	clk_532	1
n10657	clk_533	1
n10661	clk_534	1
n10664	clk_535	1
n10666	clk_536	1
n10667	clk_537	1
n10668	clk_538	1
n10669	clk_539	1
n10670	clk_540	1
n10672	clk_541	1
n10674	clk_542	1
n10675	clk_543	1
n10676	clk_544	1
n10679	clk_545	1
n10680	clk_546	1
