clk_net	name	ff_count
n891	clk_15	2
n837	clk_9	2
n838	clk_10	2
n862	clk_11	2
n810	clk_4	2
n896	clk_16	2
n898	clk_17	2
n823	clk_6	2
n902	clk_18	2
n812	clk_5	2
n905	clk_19	2
n908	clk_20	2
n911	clk_21	2
n800	clk_1	2
n913	clk_22	2
n877	clk_12	2
n805	clk_main	2
n832	clk_7	2
n920	clk_23	2
n923	clk_24	2
n927	clk_25	2
n809	clk_3	2
n835	clk_8	2
n887	clk_13	2
n889	clk_14	2
n793	clk_0	2
n872	clk_51	1
n874	clk_52	1
n880	clk_53	1
n882	clk_54	1
n884	clk_55	1
n885	clk_56	1
n892	clk_57	1
n893	clk_58	1
n894	clk_59	1
n895	clk_60	1
n901	clk_61	1
n903	clk_62	1
n912	clk_63	1
n914	clk_64	1
n917	clk_65	1
n918	clk_66	1
n932	clk_67	1
n936	clk_68	1
n938	clk_69	1
n940	clk_70	1
n942	clk_71	1
n795	clk_26	1
n801	clk_27	1
n802	clk_28	1
n806	clk_29	1
n808	clk_30	1
n815	clk_31	1
n816	clk_32	1
n818	clk_33	1
n822	clk_34	1
n824	clk_35	1
n827	clk_36	1
n829	clk_37	1
n834	clk_38	1
n839	clk_39	1
n840	clk_40	1
n843	clk_41	1
n845	clk_42	1
n846	clk_43	1
n849	clk_44	1
n850	clk_45	1
n854	clk_46	1
n855	clk_47	1
n857	clk_48	1
n866	clk_49	1
n868	clk_50	1
